freq,psd_x,psd_y,psd_z,psd_xyz
184.7,2.006e+03,3.285e+02,1.513e+03,3.847e+03
186.2,1.679e+03,3.447e+02,1.548e+03,3.572e+03
187.7,7.974e+02,3.052e+02,1.665e+03,2.767e+03
189.3,8.471e+02,1.810e+02,1.725e+03,2.754e+03
190.8,2.631e+03,8.030e+01,1.677e+03,4.388e+03
192.3,5.973e+03,6.781e+01,1.649e+03,7.690e+03
193.8,9.485e+03,1.011e+02,2.179e+03,1.176e+04
195.4,1.160e+04,1.799e+02,2.680e+03,1.446e+04
196.9,1.211e+04,3.171e+02,2.527e+03,1.496e+04
198.4,1.301e+04,4.497e+02,2.391e+03,1.585e+04
200.0,1.237e+04,5.844e+02,2.235e+03,1.519e+04
